제목,날짜,URL,내용
「증권선물위원회 운영규칙」 일부규정변경 규정(안) 입법예고,2021-06-18,https://www.fsc.go.kr/po040301/view?noticeId=3720&curPage=30&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◎ 금융위원회공고 제2021-228 호

 「증권선물위원회운영규칙」을 일부 개정함에 있어 그 개정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 다음과 같이 공고합니다.

2021년 6월 18일
금융위원회 


                                                                                                                                    「증권선물위원회 운영규칙」 일부개정규정(안) 규정변경예고

1. 개정이유

   금융행정의 투명성·책임성 강화를 위해, 위원회 의결서 작성 및
공개범위를 개선하고, 단순·반복적인 행정절차 사항 등 정책적 판단
이 필요하지 않은 사항을 증권선물위원장에게 위임하여 규정에 반영
하기 위함

2. 주요내용

가. 증권선물위원회 의결서 작성 및 공개범위 개선(안 제8조 개정)

  - 의결안건중 제재안건은 조치이유, 판단근거, 근거법규 등 필수 기재항목을 포함하여 양식화한 의결서를 작성하며, 나머지 법령 제개정, 인허가 등의 안건은 기존양식에 작성

  - 수사기관 고발 건 등의 경우에도 조치내용, 조치근거 등 필요 최소한의 내용을 기재하여 공개

나. 증권선물위원회 위원장 위임 추가

 - 불공정거래 조사결과 경고 또는 주의 조치 관한 사항(안 별표 1.)

 - 위탁감리위원장 위탁 및 감사 전 재무제표 제출 위반에 관한
   사항(안 별표 3.)


3. 의견제출

  이 규정 개정안에 대하여 의견이 있는 단체 또는 개인은 2021년 7월 6일까지 다음 사항을 기재한 의견서를 금융위원회(참조 : 규제개혁법무담당관실, 전화: 02-2100-2898, 팩스: 02-2100-2899, 이메일: ksw914@korea.kr)로 제출하여 주시기 바랍니다.

  가. 규정변경예고사항에 대한 의견
     (찬성 또는 반대 의견과 그 사유 및 기타 참고사항)

  나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호

  다. 보내실 곳 : 금융위원회 규제개혁법무담당관실
     (주소 : 03171 서울특별시 종로구 세종대로 209 정부서울청사)"
「금융위원회 운영규칙」일부규정변경 규정(안) 입법예고,2021-06-18,https://www.fsc.go.kr/po040301/view?noticeId=3719&curPage=31&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◎ 금융위원회공고 제2021-227호

 「금융위원회운영규칙」을 일부 개정함에 있어 그 개정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 다음과 같이 공고합니다.

2021년 6월 18일
금융위원회 


                                                                                                                               「금융위원회 운영규칙」 일부개정규정(안) 규정변경예고

1. 개정이유

  금융행정의 투명성·책임성 강화를 위해, 위원회 의결서 작성 및 공개범위를 개선하고, 단순·반복적인 과태료 부과ㆍ징수(5천만원 이하) 권한을 금융위원장에게 추가위임하며, 
 기존 위임사항 중 위원회 논의가 필요한 일부사항을 위임사항에서 제외하는 등 조문을 정비하여 규정에 반영하기 위함

2. 주요내용

가. 금융위 의결서 작성 및 공개범위 개선(안 제10조 개정)
  - 의결안건 중 제재안건은 조치이유, 판단근거, 근거법규 등 필수 기재항목을 포함하여 양식화한 의결서를 작성하며, 나머지 법령 제개정, 인허가 등의 안건은 기존양식에 작성
  - 수사기관 고발 건 등의 경우에도 조치내용, 조치근거 등 필요 최소한의 내용을 기재하여 공개

나. 과태료 부과·징수 권한 위원장 위임 추가

  - 유사투자자문업자가 대표자·명칭·소재지 변경 및 영업 폐지시 보고의무 및 자료제출 의무 위반에 관한 사항(안 별표 5.)

  - 사업수행기관이 지원금을 다른 용도에 사용하거나 거짓신청으로 지원금을 교부받은 경우 등 서민금융법 의무위반에 관한 사항(안 별표 33.)

다. 기존 위임사항 중 수정사항

  - 일부 금융권 인허가 및 지배구조법상 대주주 변경승인 심사중단 및 제개 여부에 대한 결정은 금융위원장에게 위임되어 있으나, 타 금융업권과 동일하게 향후 심사중단 및 제개 여부에 대한 결정은 금융위원회에서 심의·의결

    * ⌜금융권 인허가·승인 심사중단제도 개선방안⌟(‘21.5.6) 후속조치


라. 기타 경미한 사항 

  - 위임관련 오류조문 수정 및 타법 개정사항 반영 등



3. 의견제출

  이 규정 개정안에 대하여 의견이 있는 단체 또는 개인은 2021년 7월 6일까지 다음 사항을 기재한 의견서를 금융위원회(참조 : 규제개혁법무담당관실, 전화: 02-2100-2898, 팩스: 02-2100-2899, 이메일: ksw914@korea.kr)로 제출하여 주시기 바랍   니다.

  가. 규정변경예고사항에 대한 의견
     (찬성 또는 반대 의견과 그 사유 및 기타 참고사항)

  나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호

  다. 보내실 곳 : 금융위원회 규제개혁법무담당관실
     (주소 : 03171 서울특별시 종로구 세종대로 209 정부서울"
「특정 금융거래정보의 보고 및 이용 등에 관한 법률 시행령」 일부개정령(안) 입법예고,2021-06-17,https://www.fsc.go.kr/po040301/view?noticeId=3718&curPage=31&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◉ 금융위원회 공고 제2021-219호
 
「특정 금융거래정보의 보고 및 이용 등에 관한 법률 시행령」을 개정하는 데에 있어, 그 개정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣기 위하여 「행정절차법」 제41조에 따라 다음과 같이 공고합니다.
2021년 6월 17일
금융위원회 위원장
 


「특정 금융거래정보의 보고 및 이용 등에 관한 법률 시행령」 일부개정령(안) 입법예고



1. 개정이유

 「특정 금융거래정보의 보고 및 이용 등에 관한 법률(이하 “특정금융정보법”이라 한다)」(제17299호)에 따라 가상자산사업자 및 가상자산거래와 관련하여 대통령령에서 구체적으로 정하도록 한 사항을 규정하고, 기타 조문 정비 등 필요한 사항을 개정하기 위함

2. 주요내용

 가. 의심거래 보고의무 관련 사항을 명확화(안 제7조)
  - 금융회사등의 의심거래 보고이행과 관련하여 법제4조제1항 이외에 법제4조의2제2항도 포함하여 규정

 나. 금융회사등의 조치 명확화(안 제9조)
  - 금융회사등은 고위험 고객뿐만 아니라, 전체 고객에 대한 위험평가 절차 및 방법을 마련하여 실시하여야 함

 다. 고객확인사항을 명확화(안 제10조의5)
  - 고객이 법인 또는 단체의 경우 대표자의 생년월일을 확인해야 함

 라. 가상자산사업자의 조치(안 제10조의20)
  - 가상자산사업자는 본인 및 상법 시행령 제34조제4항에 따른 특수관계에 있는 자가 발행한 가상자산을 취급하지 말 것
  - 가상자산사업자 및 그 임직원은 해당 가상자산사업자를 통해 가상자산거래를 하지 말 것
 
3. 의견제출

 이 개정안에 대해 의견이 있는 기관․단체 또는 개인은 2021년 7월 27일까지 국민참여입법센터(http://opinion.lawmaking.go.kr)를 통하여 온라인으로 의견을 제출하시거나, 다음 사항을 기재한 의견서를 금융위원회 위원장에게 제출하여 주시기 바랍니다.

 가. 예고 사항에 대한 찬성 또는 반대 의견(반대 시 이유 명시)
 나. 성명(기관ㆍ단체의 경우 기관ㆍ단체명과 대표자명), 주소 및 전화번호
 다. 그 밖의 참고 사항 등

 ※ 제출의견 보내실 곳
  - 일반우편 : 03171 서울특별시 종로구 세종대로 209 정부서울청사 14층 금융위원회 금융정보분석원 기획행정실
  - 전자우편 : msmr@korea.kr
  - 팩스 : (02) 2100 - 1738

4. 그 밖의 사항

 개정안에 대한 자세한 사항은 금융위원회 금융정보분석원 기획행정실(전화 (02) 2100 - 1737, 팩스 (02) 2100 - 1738)로 문의하여 주시기 바랍니다."
「서민의 금융생활 지원에 관한 규정」 일부개정규정(안) 행정예고,2021-06-09,https://www.fsc.go.kr/po040301/view?noticeId=3717&curPage=31&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◉금융위원회 공고 제2021-208호
 
「서민의 금융생활 지원에 관한 규정」을 개정하는 데에 있어, 그 개정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣기 위하여 「행정절차법」 제41조에 따라 다음과 같이 공고합니다.
 
2021년 6월 9일
금융위원회 위원장
 
「서민의 금융생활 지원에 관한 규정」 
 일부개정규정(안) 행정예고
 
1. 개정이유
 금융회사 출연제도 개편 등을 위한 ｢서민의 금융생활 지원에 관한 법률｣이 ‘21.5.21일 개정됨에 따라 법률 및 시행령에서 위임하고 있는 사항을 규정에 반영하기 위함
   
2. 주요내용

가. 금융회사 출연금 산정 제외 대출범위 규정(안 제6조의2)
 정책적 목적에 따라서 정부 등과 협약을 체결하여 취급하는 대출, 자연재해 등에 따라 긴급하게 취급하는 대출, 중금리 대출 등을 공통출연 산정시 제외되는 대출로 규정
   
3. 의견제출
 
 이 개정안에 대해 의견이 있는 기관․단체 또는 개인은 2021년 7월 19일까지 국민참여입법센터(http://opinion.lawmaking.go.kr)를 통하여 온라인으로 의견을 제출하시거나, 다음 사항을 기재한 의견서를 금융위원회 위원장에게 제출하여 주시기 바랍니다.
 
 가. 예고 사항에 대한 찬성 또는 반대 의견(반대 시 이유 명시)
 나. 성명(기관ㆍ단체의 경우 기관ㆍ단체명과 대표자명), 주소 및 전화번호
 다. 그 밖의 참고 사항 등
 
※ 제출의견 보내실 곳
 - 일반우편 : 서울특별시 종로구 세종대로 209 정부서울청사 15층 금융위원회 서민금융과
 - 전자우편 : jeongchanlee@korea.kr
 - 팩스 : 02-2100-2629
   
4. 그 밖의 사항
 
 개정안에 대한 자세한 사항은 금융위원회 서민금융과(전화 (02) 2100 - 2614, 팩스 02-2100-2629)로 문의하여 주시기 바랍니다."
「서민의 금융생활 지원에 관한 법률 시행령」 일부개정령(안) 입법예고,2021-06-09,https://www.fsc.go.kr/po040301/view?noticeId=3716&curPage=31&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◉금융위원회 공고 제2021-207호
 
「서민의 금융생활 지원에 관한 법률 시행령」을 개정하는 데에 있어, 그 개정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣기 위하여 「행정절차법」 제41조에 따라 다음과 같이 공고합니다.
 
2021년 6월 9일
금융위원회 위원장
 
「서민의 금융생활 지원에 관한 법률 시행령」 
 일부개정령(안) 입법예고
 
1. 개정이유
 
 금융회사 출연제도 개편 등을 위한 ｢서민의 금융생활 지원에 관한 법률｣이 ‘21.5.21일 개정됨에 따라 법률에서 위임하고 있는 사항을 시행령에 반영하기 위함
 
2. 주요내용
 
가. 서민금융진흥원 운영위원회 추천기준 마련(안 제13조의2)
 금융협회 소속 금융회사의 출연금 누적규모가 가장 큰 2개의 금융협회의 장이 운영위원회 위원을 각각 추천.
 
나. 서민금융통합지원센터 및 서민금융통합지원센터 운영협의회 운영을 위한 필요사항 정비(안 제22조의2, 제22조의3)
 서민금융통합지원센터는 서민에 대한 신용보증 및 자금대출 등 서민 금융생활 지원을 위한 제반 활동을 그 업무로 하고 서민금융통합지원센터운영협의회는 서민금융진흥원 부원장, 신용회복위원회 사무국장, 서민금융진흥원과 신용회복위원회가 지명하는 1인 및 금융위원회 금융소비자국장으로 구성하며, 센터의 구성·운영에 관한 사항 등을 심의·의결함
 
다. 금융회사 출연제도 관련 세부기준 마련 (안 제42조, 별표1)
 ｢서민의 금융생활 지원에 관한 법률｣제47조제2항에 따른 금융회사의 출연대상 대출금을 규정하고 출연대상 대출금에 대한 출연비율을 연 1천분의 0.3으로 정하며, 법 제47조제3항에 따른 신용보증금액에 대해 별표1의 출연 요율을 부과
 
라. 소상공인시장진흥공단 및 소상공인시장진흥기금 신용회복지원협약 체결대상 추가(안 제55조제1항제16호)
 제55조제1항제16호를 신설하여 「소상공인 보호 및 지원에 관한 법률」에 따른 소상공인시장진흥공단 및 소상공인시장진흥기금을 신용회복지원협약 체결대상에 추가
   
3. 의견제출
 
 이 개정안에 대해 의견이 있는 기관․단체 또는 개인은 2021년 7월 19일까지 국민참여입법센터(http://opinion.lawmaking.go.kr)를 통하여 온라인으로 의견을 제출하시거나, 다음 사항을 기재한 의견서를 금융위원회 위원장에게 제출하여 주시기 바랍니다.
 
 가. 예고 사항에 대한 찬성 또는 반대 의견(반대 시 이유 명시)
 나. 성명(기관ㆍ단체의 경우 기관ㆍ단체명과 대표자명), 주소 및 전화번호
 다. 그 밖의 참고 사항 등
 
※ 제출의견 보내실 곳
 - 일반우편 : 서울특별시 종로구 세종대로 209 정부서울청사 15층 금융위원회 서민금융과
 - 전자우편 : jeongchanlee@korea.kr
 - 팩스 : 02-2100-2629
 
4. 그 밖의 사항
 
 개정안에 대한 자세한 사항은 금융위원회 서민금융과(전화 (02) 2100 - 2614, 팩스 02-2100-2629)로 문의하여 주시기 바랍니다."
「한국주택금융공사법 시행령」 일부개정령(안) 입법예고,2021-06-04,https://www.fsc.go.kr/po040301/view?noticeId=3715&curPage=31&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◎ 금융위원회공고 제2021-200호
 
「한국주택금융공사법 시행령」을 일부 개정함에 있어 그 개정이유와 주요 내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 다음과 같이「한국주택금융공사법 시행령」 일부개정령(안)을 공고합니다.
 
2021년 6월 4일
금융위원회
 
 
「한국주택금융공사법 시행령」 일부개정령(안) 입법예고
 
1. 개정이유

 서민·실수요자에 대한 주택금융지원 강화를 위해 한국주택금융공사가 제공하는 개인보증상품의 개인당 최대보증한도를 상향하고, (2021년 5월 31일 ‘서민·실수요자 금융지원안‘ 후속조치) 비조합방식의 재개발·재건축 도입에 따른 주택연금 자동해지 예외사유를 정비함
 
2. 주요 내용

 가. 개인보증상품의 개인당 최대보증한도 상향(안 §28②)
 - 동일인에 대한 보증종류별 최대보증한도를 현행 5억원으로 상향하되, 전세금반환보증의 경우 최대 10억원까지로 상향함
 (개별 상품의 구체적 보증한도는 동조 제3항에 따라 주택금융운영위원회에 위임)
 
 나. 주택연금 자동해지 예외사유 정비(안 §28의2)
 - 조합을 활용하지 않는 비조합방식의 재개발·재건축 사업이 활성화 될 예정임에 따라 비조합방식으로 재개발·재건축에 참여하더라도 연금이 자동해지되지 않도록 해지예외사유를 정비함
 
3. 의견제출

 이 시행령 개정안에 대하여 의견이 있는 기관･단체 또는 개인은 2021년 7월 14일까지 다음 사항을 기재한 의견서를 금융위원회(참조 : 금융위원회 가계금융과, 전화 : 02-2100-2523, 팩스 : 02-2100-2639, 이메일 : sweet8606@korea.kr)로 제출하여 주시기 바랍니다.
 
 가. 입법예고사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항)
 나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호
 다. 보내실 곳 : 금융위원회 가계금융과 (주소 : 03171 서울시 종로구 세종대로 209)
 
※ 자세한 사항은 금융위원회 홈페이지(www.fsc.go.kr/→정보마당→법령정보→입법예고/규정변경예고)를 참고하시기 바랍니다."
｢금융위원회 청렴시민감사관 설치 및 운영에 관한 규정 제정안｣ 행정예고,2021-06-01,https://www.fsc.go.kr/po040301/view?noticeId=3714&curPage=31&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◎ 금융위원회 공고 제2021-202호
 
 ｢금융위원회 청렴시민감사관 설치 및 운영에 관한 규정｣을 제정함에 있어 그 제정이유와 주요 내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 ｢금융위원회 청렴시민감사관 설치 및 운영에 관한 규정 제정안｣을 다음과 같이 공고합니다.
 
2021년 6월 1일
금융위원회
 
｢금융위원회 청렴시민감사관 설치 및 운영에 관한 규정 제정안｣ 행정예고
 
1. 제정이유
 금융위원회의 업무 및 사업에 대한 투명한 감시와 평가, 불합리한 제도·관행·업무절차 등을 발굴하여 개선하도록 자문하는 청렴시민감사관의 설치 및 운영에 관하여 필요한 사항을 정하기 위함
 
2. 주요내용
 가. 위촉(안 제2조)
 ㅇ 청렴시민감사관은 3명 이내로 위촉하며, 금융위원회 업무에 관한 식견과 경험이 풍부하거나, 청렴·감사 업무 분야에 전문성이 인정되는 사람 중에서 위원장이 위촉
 ㅇ 청렴시민감사관 결격 사유는「국가공무원법」또는「지방공무원법」상 결격사유가 있는 자, 국회의원·지방의회의원, 국가기관·지방자치단체 공무원, 정당의 당원이나 정치 활동을 주목적으로 하는 단체의 구성원, 공직선거 후보자
 
 나. 임기 및 신분보장 (안 제3조)
 ㅇ 청렴시민감사관의 임기는 2년으로 하되, 1회에 한해 연임 가능
 ㅇ 청렴시민감사관 해촉 사유는 위촉 후 결격사유 발생, 금고 이상의 형 선고, 금품·향응 수수, 업무 태만․업무수행 능력 부족, 신체 또는 정신상의 이상으로 정상적인 업무수행이 곤란한 경우, 사회적·도덕적으로 물의를 일으켜 정상적인 업무수행이 곤란한 경우
 
다. 청렴시민감사관의 직무 (안 제4조)
 ① 금융위가 행하는 업무 및 사업 중 청렴성이 요구되는 분야 또는 청렴시책에 대한 감시·평가·자문
 ② 금융위에서 시행하는 감사에 대한 자문
 ③ 부패행위와 부패취약분야에 대한 시정 권고 및 감사 요구
 ④ 금융위 청렴도 제고 방안에 대한 의견 제시
 ⑤ 금융위의 민간에 대한 갑질 모니터링 및 제도개선 권고
 ⑥ 금융위의 소극행정 조사․개선․예방 권고

라. 직무수행 등 (안 제6조)
 ㅇ 청렴시민감사관은 자율적으로 직무를 수행하며, 감사담당관이 청렴시민감사관 회의를 정기적으로 개최하고, 청렴시민감사관 활동을 지원
 ㅇ 청렴시민감사관은 직무수행에 필요한 경우 감사담당관을 경유하여 해당 부서에 필요한 자료 제출 요구 가능하고, 자료 제출 요구를 받은 부서는 특별한 사유가 없는 한 이에 응하여야 함
 ㅇ 청렴시민감사관은 금융위가 실시하는 감사에 참여 가능
 
3. 의견제출
 이 제정안에 대하여 의견이 있는 기관·단체 또는 개인은 2021년 7월 10일까지 다음 사항을 기재한 의견서를 금융위원회(참조 : 감사담당관, 전화 : 02-2100-2792, 팩스 : 02-2100-2799, 이메일 : rememberme@korea.kr)로 제출하여 주시기 바랍니다.
 
 가. 예고사항에 대한 항목별 의견(찬․반 여부와 그 이유)
 나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호
 다. 기타 참고사항
 
※ 자세한 사항은 금융위원회 홈페이지(www.fsc.go.kr/정책마당/법령정보/입법예고)를 참고하시기 바랍니다."
｢자본시장과 금융투자업에 관한 법률 시행령｣ 일부개정령(안) 재입법예고,2021-05-31,https://www.fsc.go.kr/po040301/view?noticeId=3713&curPage=31&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"⊙금융위원회 공고 제2021-182호

  「자본시장과 금융투자업에 관한 법률 시행령」을 개정함에 있어 그 개정 이유와 주요 내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 다음과 같이 공고합니다.
 2021년 5월 31일   금융위원회위원장
｢자본시장과 금융투자업에 관한 법률 시행령｣ 일부개정령(안) 재입법예고
1. 개정 이유

  법인의 주권 상장 등을 위한 모집 또는 매출의 경우 청약자의 중복청약 및 중복배정을 방지하기 위한 제도적 근거를 마련하고자 하는 것임

2. 주요 내용

 ㅇ 중복청약 미확인 및 중복배정 행위를 불건전 영업행위로 규정(안 제422조의2)
   - 최근 공모주 균등배정 제도가 도입됨에 따라 청약자가 여러 증권회사에 중복청약하는 경향이 증가하고 있어 보다 실효성있는 균등배정 제도의 운영을 위해 중복청약 및 중복배정을 제한하여 소액투자자의 공모주 배정 기회의 형평성을 보장할 필요

3. 의견 제출

  동 개정안에 대하여 의견이 있는 기관･단체 또는 개인은 2021.6.4.(금)까지 통합입법예고시스템(http://opinion.lawmaking.go.kr)을 통하여 법령안을 확인한 후 의견을 제출하시거나, 다음 사항을 기재한 의견서를 금융위원회(참조: 자본시장과)로 제출하여 주시기 바랍니다.

   가. 입법예고사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항)
   나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호
   다. 보내실 곳 : 금융위원회(자본시장과)
     ◦ 주소 : (03171) 서울시 종로구 세종대로 209 정부서울청사
     ◦ 전화 : 02-2100-2652
     ◦ 팩스 : 02-2100-2648
     ◦ 이메일 : dapasj@korea.kr

※ 자세한 사항은 금융위원회 홈페이지(www.fsc.go.kr / 지식마당 / 법령정보 / 입법예고)를 참고하시기 바랍니다."
「금융소비자 보호에 관한 감독규정」 일부개정규정(안) 행정예고,2021-05-28,https://www.fsc.go.kr/po040301/view?noticeId=3712&curPage=31&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◎ 금융위원회 공고 제2021-203호
 
「금융소비자 보호에 관한 감독규정」을 개정함에 있어 그 개정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣기 위하여 「행정절차법」 제46조에 따라 다음과 같이 공고합니다.
 
2021년 5월 28일
금융위원회
 
「금융소비자 보호에 관한 감독규정」 일부개정규정(안) 행정예고
 
1. 개정이유
 
 ’21.3월 금융위원회가 발표한 “대부업 서민대출 공급활성화 방안”에 대한 후속조치 및 「금융소비자 보호에 관한 법률」의 원활한 시행을 위해 필요한 보완조치 사항을 규정하는 것임.
 
2. 주요내용
 
가. 금융상품판매업의 예외(안 제2조제2항)
 보험회사만을 대상으로 영업하는 재보험사 및 수산업·어촌발전기본법에 따른 정책금융상품을 금융상품판매업의 예외로 규정함
 
나. 계약서류 제공의무의 예외 신설(안 제21조제2항)
 기본 계약을 체결하고 그 계약내용에 따라 계속적·반복적으로 거래를 하는 경우 등을 계약서류 제공의무의 예외로 규정함
 
다. 온라인 대출모집법인의 대부중개업 금지규제 완화(안 제22조제2호가목)
 온라인 대출모집법인이 대부 금융상품 중 ‘서민금융 우수 대부업체의 대부 금융상품’에 한해 판매대리·중개업을 영위할 수 있도록 허용
 
3. 의견제출
 
 이 제정안에 대하여 의견이 있는 기관‧단체 또는 개인은 2021년 7월 6일까지 다음 사항을 기재한 의견서를 금융위원회로 제출하여 주시기 바랍니다.
 가. 예고 사항에 대한 찬성 또는 반대 의견(반대 시 이유 명시)
 나. 성명(기관‧단체의 경우 기관‧단체명과 대표자명), 주소 및 전화번호
 다. 그 밖의 참고 사항 등
 
※ 제출의견 보내실 곳
 - 일반우편 : 03171 서울특별시 종로구 세종대로 209 정부서울청사 금융위원회 금융소비자정책과
 - 전자우편 : kant@korea.kr
 - 팩스 : 02-2100-2999

4. 그 밖의 사항
 
제정안에 대한 자세한 사항은 금융위원회 금융소비자정책과(전화 02-2100-2642, 팩스 02-2100-2999)로 문의하여 주시기 바랍니다."
「신용정보업 감독규정」 일부규정변경 규정(안) 입법예고,2021-05-25,https://www.fsc.go.kr/po040301/view?noticeId=3711&curPage=31&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◎ 금융위원회 공고 제2021-180호
 
「신용정보업감독규정」을 일부 개정함에 있어 그 개정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣기 위하여 「행정절차법」 제46조에 따라 다음과 같이 공고합니다.
 
2021년 5월 25일
금융위원회
 
「신용정보업 감독규정」 일부규정변경 규정(안) 입법예고
 
1. 개정이유
 
 본인신용정보 전송요구권의 전면적 시행(‘21.8월)에 앞서 ’20.2월 개정된 ｢신용정보의 이용 및 보호에 관한 법률｣ 운영 과정에서 나타난 마이데이터 및 본인신용정보 전송요구권 운영상 보완필요사항을 개선
 
2. 주요내용
 
가. 본인신용정보관리회사(이하 ‘마이데이터’) 등 데이터 사업자 허가심사 제도 개선(안 제5조제6항, 제12항)
 
 ㅇ 소송·조사·검사 등에 따라 허가심사를 중단한 경우 중단시점으로부터 매 6개월마다 심사재개 여부를 판단하도록 재심사 제도 신설
 
나. 마이데이터 업무범위 확대(안 제13조의3, 안 제13조의4)
 
 ㅇ 마이데이터 사업자가 ｢금융소비자 보호에 관한 법률｣상 금융상품판매대리·중개업을 겸영업무로 영위할 수 있도록 하여 맞춤형 상품추천 등의 업무가 가능하도록 함
 
 ㅇ 마이데이터 사업자가 신용정보주체의 전송요구 및 전송요구 철회 업무를 보조·지원할 수 있도록 허용하여 마이데이터 사업자가 정보주체의 정보주권 행사의 인프라로 역할하도록 함
 
다. 마이데이터 사업자에 대한 행위규칙 신설(안 제22조의3제1항)
 
 ㅇ 마이데이터 사업자가 개인신용정보의 정기적 전송요구시 이를 일회적 전송요구로 고의변경하여 요청하는 행위를 제한하여 개인신용정보 전송에 따르는 정당한 실비의 지불을 회피하는 행위 금지
 
 ㅇ 마이데이터 사업자가 통상적 수준을 초과하는 과도한 경제적 이익을 제공하거나 제공할 것을 조건으로 금융소비자를 유인하는 행위를 금지하여 과잉경쟁에 따른 불필요한 개인신용정보 처리를 제한
 
 ㅇ 마이데이터 서비스에 대한 규격적합성 및 취약점 점검을 의무화하여 마이데이터 서비스의 안전성 및 보안성 제고
 
라. 소규모 마이데이터 사업자의 중계기관 활용 허용(안 제22조의3제3항)
 
 ㅇ 신용정보 전송요구권 행사에 따른 개인신용정보 전송시 중계기관 활용이 금지된 소규모 마이데이터 사업자에 대해 중계기관 활용 허용
 
마. 원활한 본인신용정보 전송을 위한 거점중계기관 신설(안 제15조제2항, 안 제39조의2 제3항)
 
 ㅇ 금융회사 등이 마이데이터 사업자 외 기관간 데이터 전송 등을 수행할 경우 거점중계기관을 이용할 수 있도록 하여 금융회사 등의 정보처리 관련 부담을 완화
 
 ㅇ 중계기관 및 거점중계기관에 신용정보 전송요구권 행사에 따른 개인신용정보 처리를 위탁하는 경우 별도의 위탁신고를 면제하여 효율성 제고
 
바. 종합신용정보집중기관 업무 확대(안 제26조의5)
 
 ㅇ 종합신용정보집중기관이 범정부 공공분야 마이데이터 사업 추진을 지원하고, 마이데이터 사업자들의 업무부담 완화를 위한 관련 산업 지원·보조 업무 등을 수행할 수 있도록 허용
 
사. 금융보안원을 금감원 감독·검사 대상기관에 포함(안 제40조의10)
 
 ㅇ 마이데이터에 대한 보안성 심의 등의 역할을 수행하는 금융보안원을 금감원 감독·검사 대상기관에 포함토록 하여 해당 기관의 업무수행의 적정성에 대한 모니터링 및 점검 실시
 
아. 개인정보상시평가제 정보 전송 절차 간소화(안 제45조의2제1항제3호)
 
 ㅇ 금융보안원은 개인정보상시평가제와 관련 금융위가 승인한 사항을 금융감독원장에 송부할 수 있으나, 양 기관간 신속하고 원활한 자료 이용을 위하여 금융위 보고 후 관련 자료를 금융감독원장에 송부할 수 있도록 개선
 
3. 의견제출
 
 이 개정안에 대하여 의견이 있는 기관‧단체 또는 개인은 2021년 7월 5일까지 다음 사항을 기재한 의견서를 금융위원회로 제출하여 주시기 바랍니다.

가. 예고 사항에 대한 찬성 또는 반대 의견(반대 시 이유 명시)
나. 성명(기관‧단체의 경우 기관‧단체명과 대표자명), 주소 및 전화번호
다. 그 밖의 참고 사항 등
 
※ 제출의견 보내실 곳
- 일반우편 : 03171 서울특별시 종로구 세종대로 209 정부서울청사 금융위원회 금융데이터정책과
- 전자우편 : sobrious@korea.kr
- 팩스 : 02-2100-2745
 
4. 그 밖의 사항
 
개정안에 대한 자세한 사항은 금융위원회 금융데이터정책과(전화 02-2100-2621, 팩스 02-2100-2745)로 문의하여 주시기 바랍니다."
